"Gender","MaritalStatus","NumDependents","Age","Income","EducationLevel","Tenure","CustomerSegment","CommChannel","CreditScore","CreditHistLength","OutstandingLoans","Churn","Balance","NumProducts","NumComplaints"
"Male","Single",0,42,87512.21,"Bachelor's",26,"SME","Email",829,7,31164.72,"0",27852.11,5,7
"Male","Divorced",5,18,85636.57,"High School",16,"SME","Phone",415,29,48322.31,"0",63093.16,1,2
"Male","Single",3,59,23790.18,"Diploma",28,"Corporate","Email",447,11,40597.98,"0",64127.57,5,1
"Male","Single",0,23,98489.19,"Bachelor's",27,"SME","Phone",592,27,28528.36,"0",225678.58,3,2
"Male","Single",3,57,64933.28,"Bachelor's",30,"Corporate","Email",408,18,33691.3,"0",57845.5,3,3
"Male","Married",3,53,72063.83,"Diploma",21,"SME","Email",453,14,36268.21,"0",97674.07,5,9
"Male","Divorced",2,46,23819.57,"Diploma",27,"Corporate","Email",850,12,13055.58,"0",42643.8,3,7
"Male","Married",4,72,43893.01,"Master's",16,"SME","Email",343,23,10827.3,"0",193263.84,5,10
"Male","Single",1,68,50043.77,"Diploma",19,"Retail","Phone",644,26,25673.56,"0",134404.42,2,10
"Female","Single",3,65,60947.5,"Diploma",30,"SME","Phone",356,5,18190.69,"0",118613.65,5,10
"Male","Single",2,52,98913.01,"Master's",6,"Corporate","Email",636,1,24591.59,"0",230194.29,2,9
"Female","Single",2,26,24826.95,"High School",9,"Retail","Email",392,9,38011.57,"0",198522.51,4,3
"Female","Divorced",4,25,6844.88,"Bachelor's",1,"Corporate","Email",500,16,47417.41,"0",161596.55,2,3
"Male","Married",2,27,67006.08,"Master's",11,"Retail","Phone",787,23,19861.37,"0",214137.16,2,3
"Male","Married",3,28,32585.52,"Diploma",27,"Retail","Email",442,18,35822.99,"0",244547.67,3,6
"Female","Married",5,49,93508.64,"Master's",3,"Retail","Phone",643,14,41410.39,"0",207931.99,3,9
"Male","Married",2,56,33991.6,"Bachelor's",3,"SME","Phone",706,2,35456.8,"0",77848.65,1,6
"Female","Single",5,63,68182.86,"Master's",4,"Corporate","Email",396,23,10679.66,"0",98389.11,2,2
"Male","Single",0,56,87620.03,"Diploma",14,"Retail","Phone",415,24,16664.95,"0",93506.03,2,7
"Male","Married",0,57,96731.47,"Diploma",12,"Corporate","Email",640,26,9108.58,"0",146915.38,4,1
"Male","Divorced",5,71,46217.84,"Master's",18,"SME","Phone",677,21,24232.24,"0",111727.37,4,9
"Male","Single",4,69,56198.29,"Master's",4,"SME","Email",781,18,36177.11,"0",29208.44,1,2
"Male","Divorced",5,47,13629.01,"Bachelor's",17,"Retail","Phone",511,3,43880.33,"0",216145.15,2,6
"Male","Single",0,29,71167.86,"Bachelor's",8,"Corporate","Phone",782,28,24455.56,"0",209091.81,2,1
"Female","Single",2,23,59860.8,"Diploma",29,"Corporate","Phone",416,23,35217.63,"0",218258.79,1,2
"Male","Married",4,35,60620.29,"Bachelor's",22,"Corporate","Phone",540,11,39423.62,"0",69652.22,1,0
"Female","Married",2,46,45156.44,"Bachelor's",6,"Retail","Email",697,29,43135.05,"0",63074.82,4,4
"Male","Divorced",5,76,41465.71,"High School",26,"SME","Phone",386,28,28777.01,"0",197996.42,5,4
"Female","Married",5,24,59838.39,"Bachelor's",12,"Retail","Phone",487,30,11961.3,"0",229508.73,1,5
"Male","Married",4,49,27225.52,"Master's",16,"Retail","Phone",835,17,32476.69,"0",36615.38,4,5
"Female","Married",5,23,20835.17,"Bachelor's",16,"Retail","Email",301,20,30105.04,"0",211665.51,3,4
"Male","Single",3,26,44763.36,"Bachelor's",17,"Retail","Phone",348,9,27342.03,"0",170810.39,3,3
"Male","Divorced",5,74,70561.15,"High School",7,"Retail","Phone",375,16,26890.87,"0",38679.73,5,3
"Female","Married",3,42,77167.53,"Diploma",27,"Corporate","Phone",492,4,6374.91,"1",38534.11,2,7
"Male","Divorced",0,64,97676.94,"Bachelor's",29,"Retail","Email",413,25,18595.31,"0",190897.86,2,5
"Male","Divorced",3,27,14421.9,"High School",10,"Corporate","Email",418,14,16509.16,"0",97748.25,5,6
"Female","Single",3,32,41742.82,"Diploma",2,"Retail","Email",820,25,49898.88,"0",131401.01,2,7
"Male","Single",4,29,60284.63,"High School",24,"Corporate","Email",455,12,49588.26,"0",172665.82,2,0
"Male","Married",5,62,67655.14,"High School",11,"SME","Phone",613,10,42786.62,"0",129482.27,4,5
"Female","Single",3,51,86311.86,"Bachelor's",3,"Retail","Phone",826,30,19854.15,"0",219409.95,3,1
"Male","Married",4,44,90238.37,"Bachelor's",2,"SME","Email",402,9,38157.39,"1",42188.3,2,10
"Female","Divorced",1,70,40396.27,"Diploma",10,"Retail","Email",365,12,34181.72,"0",241474.6,5,10
"Female","Divorced",3,71,74029.89,"Master's",4,"SME","Phone",570,22,46593.21,"0",122629.01,4,10
"Male","Divorced",0,19,23085,"Bachelor's",22,"SME","Email",779,19,35914.5,"0",248563.04,3,9
"Female","Divorced",2,74,50761.08,"Master's",7,"SME","Email",391,3,46566.08,"0",61556.92,4,9
"Female","Married",5,48,42038.69,"Diploma",23,"Corporate","Email",335,7,14797.78,"0",226855.45,5,10
"Male","Married",1,47,10836.9,"Master's",23,"Corporate","Phone",646,26,21863.55,"0",164488.71,1,4
"Male","Married",0,63,31291.8,"Master's",26,"Corporate","Email",356,20,49711.73,"0",141234.34,5,5
"Male","Divorced",2,51,49997.15,"Master's",8,"Corporate","Phone",392,24,32691.81,"0",72820.71,3,6
"Male","Divorced",2,41,94891.35,"Bachelor's",4,"Corporate","Email",604,19,19478.93,"0",117467.48,3,1
"Male","Married",5,25,47126.33,"Bachelor's",25,"Corporate","Phone",456,20,11897.83,"0",84310.64,5,10
"Female","Divorced",5,28,11980.86,"Diploma",18,"Corporate","Phone",757,14,33286.75,"0",220615.77,1,6
"Male","Married",2,34,99937.9,"High School",15,"Corporate","Phone",734,27,2371.31,"0",166396.54,3,2
"Female","Divorced",0,52,21633.23,"Master's",8,"SME","Email",607,25,16734.89,"0",19936.66,4,1
"Male","Divorced",1,48,47220.55,"Diploma",8,"Corporate","Email",569,14,21473.95,"1",57371.94,1,7
"Female","Single",2,65,71709.54,"High School",30,"SME","Phone",692,16,12633.11,"0",186833,4,10
"Male","Divorced",5,71,89423.81,"High School",7,"SME","Phone",375,2,49235.32,"0",88890.14,5,1
"Female","Divorced",1,33,84882.14,"Bachelor's",8,"SME","Email",367,8,3683.14,"1",21190.62,4,10
"Female","Single",5,61,81535.2,"Bachelor's",14,"SME","Phone",449,29,11484.1,"0",91383.85,4,4
"Male","Married",0,53,12404.66,"High School",5,"SME","Email",529,1,43854.71,"0",168956.6,5,0
"Female","Married",2,66,84889.06,"Diploma",15,"Corporate","Email",319,28,5930.02,"0",249748.59,1,6
"Male","Single",4,24,53107.07,"Master's",16,"SME","Email",338,25,41737.54,"0",164264.91,3,5
"Male","Single",2,28,78576.53,"Bachelor's",22,"Corporate","Email",392,11,34535.95,"0",184520.11,2,4
"Female","Single",0,33,53506.06,"Master's",25,"Retail","Email",440,2,19043.82,"0",205104.63,3,8
"Female","Married",0,42,29156.09,"High School",8,"Retail","Email",845,17,44010.58,"0",237164.01,4,3
"Male","Single",1,53,84231.76,"Bachelor's",11,"SME","Email",334,21,26819.81,"0",159372.05,2,0
"Male","Married",3,64,76565.26,"High School",14,"Corporate","Phone",464,14,2069.6,"0",107967.85,3,10
"Male","Divorced",4,20,66815.78,"High School",9,"Retail","Phone",613,21,32307.53,"0",21465.88,5,1
"Male","Married",3,21,91909.35,"Bachelor's",20,"SME","Email",575,27,1722.92,"0",219244.93,1,4
"Male","Married",2,54,22648.78,"Master's",30,"SME","Phone",702,11,16800.9,"0",70283.34,3,1
"Female","Single",1,38,18874.43,"High School",20,"Retail","Phone",330,28,25722.19,"0",167829.52,5,2
"Male","Married",2,67,29021.31,"Master's",25,"Retail","Email",807,29,24682.37,"0",151560.71,3,7
"Male","Single",3,28,32744.87,"Master's",18,"SME","Email",353,9,28058.88,"0",234281,5,8
"Male","Married",0,23,44889.3,"Bachelor's",14,"Retail","Phone",518,12,43404.91,"0",193224.16,4,9
"Male","Married",4,68,8815.82,"Bachelor's",9,"SME","Email",847,9,38933.92,"0",203367.57,3,9
"Male","Married",0,44,62829.7,"Diploma",16,"Corporate","Phone",317,19,3104.86,"0",78432.99,3,3
"Female","Married",5,24,83045.85,"Master's",25,"Corporate","Phone",706,21,37568.93,"0",214731.99,3,1
"Male","Married",4,65,19206.15,"Bachelor's",14,"Corporate","Phone",753,19,38470.01,"0",226339.23,1,5
"Female","Married",4,62,92900.92,"Master's",1,"SME","Email",819,1,23402.63,"0",85569.1,3,9
"Female","Married",2,61,22255.78,"Master's",6,"SME","Phone",750,29,37198.19,"0",182984.12,1,8
"Male","Divorced",2,70,67071.18,"Diploma",24,"Corporate","Email",616,11,33451.93,"0",142790.06,3,1
"Male","Single",3,37,15735.99,"Diploma",25,"Retail","Email",677,16,39518.93,"0",221662.47,3,10
"Male","Divorced",1,37,94581.36,"Bachelor's",9,"SME","Phone",471,30,46641.44,"0",169261.13,5,8
"Male","Married",0,19,34027.75,"Master's",13,"SME","Email",621,22,31688.58,"0",24259.07,4,0
"Male","Married",2,65,21102.65,"Bachelor's",23,"Corporate","Email",828,29,1835.21,"0",220435.95,3,5
"Male","Married",1,53,42247.48,"High School",21,"Corporate","Email",641,10,14507.94,"0",104091.39,5,4
"Female","Married",2,36,99600.49,"Diploma",18,"SME","Email",687,15,35579.25,"0",14003.55,5,5
"Female","Married",3,51,30090.79,"Master's",3,"Corporate","Email",363,2,42533.34,"1",319.91,3,6
"Female","Divorced",2,46,52570.79,"Diploma",17,"SME","Phone",748,27,15369.92,"0",165049.76,1,2
"Male","Divorced",4,47,49195.14,"Diploma",2,"Retail","Email",833,18,18426.92,"0",48868.32,3,3
"Female","Married",0,68,74479.02,"High School",18,"SME","Phone",334,4,16552.8,"0",166895.54,5,1
"Female","Divorced",0,18,22575.51,"High School",18,"Corporate","Email",618,4,29422.79,"0",74390.78,2,7
"Female","Single",4,23,94852.97,"Bachelor's",25,"Corporate","Email",802,15,15554.34,"0",29709.1,5,1
"Female","Divorced",3,41,67321.46,"Bachelor's",22,"SME","Email",624,10,36870.84,"0",163571.67,4,1
"Female","Married",5,71,83003.83,"Master's",15,"Retail","Email",756,13,13259.68,"0",76570.42,1,9
"Male","Single",4,59,13369.45,"High School",22,"SME","Phone",801,11,9355.39,"0",68539.03,5,0
"Female","Divorced",2,36,19931.13,"Master's",29,"SME","Phone",698,25,26701.6,"0",244005.07,5,7
"Male","Married",0,49,40615.18,"Bachelor's",14,"Corporate","Email",400,12,2034.48,"0",91672.89,1,6
"Female","Single",1,58,38627.7,"Master's",21,"Retail","Phone",409,24,28085.63,"0",246748.14,3,10
"Male","Divorced",3,22,71586.41,"Diploma",27,"Retail","Email",461,8,18620.71,"0",216655.57,1,8
"Female","Divorced",5,51,25770.26,"Diploma",23,"Retail","Phone",614,19,31342.97,"0",237732.31,2,6
"Male","Divorced",1,66,14337.29,"Master's",11,"SME","Phone",423,18,39241,"0",223798.93,1,8
"Male","Single",5,33,6789.27,"High School",30,"Retail","Email",796,16,31093.36,"0",93780.22,2,3
"Female","Single",2,40,89826.36,"Bachelor's",24,"Corporate","Email",309,19,44146.46,"0",44785.4,4,3
"Female","Married",0,67,30903.74,"High School",10,"SME","Email",768,26,18655.18,"0",224873.09,4,1
"Female","Divorced",3,39,71533.91,"Master's",11,"Retail","Email",320,25,15413.62,"0",121940.36,4,10
"Male","Divorced",5,41,70517.14,"Diploma",19,"SME","Email",570,20,11869.96,"0",171494.28,3,10
"Male","Divorced",5,73,65051,"High School",28,"SME","Phone",707,9,17609.43,"0",244488.31,2,10
"Female","Married",4,62,51892.68,"Diploma",4,"Retail","Phone",478,29,46352.86,"0",201876.46,2,3
"Male","Single",5,40,34341.22,"Bachelor's",25,"Corporate","Email",388,21,24326.99,"1",25009.16,4,6
"Female","Divorced",3,51,10410.93,"Bachelor's",23,"Retail","Phone",424,21,23556.57,"0",139907.45,4,7
"Male","Married",5,53,63876.46,"Master's",19,"SME","Phone",541,6,33984.85,"0",110107.17,1,4
"Male","Married",2,51,66891.35,"Bachelor's",14,"Corporate","Phone",568,3,22744.09,"0",99048.3,4,10
"Female","Single",5,48,16075.59,"Bachelor's",7,"SME","Phone",482,11,47079.81,"1",19617.52,2,3
"Female","Married",2,25,88495.81,"Bachelor's",17,"Corporate","Phone",483,22,4174.2,"0",88831.83,4,1
"Male","Married",2,49,55669.37,"Bachelor's",9,"Retail","Email",432,2,48851.28,"1",15323.93,3,9
"Female","Married",0,59,5071.61,"Diploma",5,"Retail","Phone",328,29,44149.27,"0",28137.12,4,2
"Female","Single",4,32,19776.52,"Diploma",6,"Retail","Email",415,11,24733.92,"0",225478.28,4,2
"Male","Married",0,58,96792.21,"Bachelor's",22,"Corporate","Email",779,14,22437.96,"0",88440.33,2,6
"Female","Divorced",5,63,45064.12,"Diploma",26,"SME","Email",415,17,13464.68,"0",168572.41,1,8
"Male","Married",2,35,65053.37,"Master's",6,"Retail","Phone",418,14,1185.39,"0",169802.57,1,8
"Male","Single",3,53,93414.12,"Master's",23,"Retail","Email",805,17,7800.55,"0",249417.13,3,7
"Female","Divorced",2,56,57835.63,"Bachelor's",29,"Corporate","Phone",395,1,32659.12,"0",115664.56,1,9
"Female","Single",3,74,93232.7,"Master's",6,"Corporate","Email",319,24,1884.58,"1",27648.38,4,10
"Male","Married",5,19,28754.52,"Diploma",4,"Retail","Email",429,5,12962.67,"1",74968.69,1,8
"Female","Divorced",5,35,82267.53,"High School",13,"SME","Phone",518,9,1155.36,"0",187067.54,4,10
"Female","Married",3,30,23341.3,"Diploma",9,"Retail","Email",562,21,28471.89,"0",97327.67,4,7
"Female","Divorced",0,36,84636.46,"Master's",5,"Corporate","Email",759,8,3075.66,"0",85377.14,3,6
"Female","Divorced",3,18,56740.23,"High School",27,"Retail","Email",433,19,5877.84,"1",4388.01,1,6
"Female","Single",2,45,96419.77,"Master's",28,"SME","Phone",595,1,40266.56,"0",138540.87,1,8
"Male","Divorced",0,70,48780.83,"Bachelor's",29,"SME","Phone",753,7,41464.58,"0",189742.79,2,7
"Male","Divorced",2,71,52882.31,"High School",13,"SME","Email",825,16,40403.4,"0",131580.06,3,3
"Male","Single",2,41,29482.65,"Bachelor's",7,"Corporate","Email",668,18,26196.18,"0",220971.39,4,6
"Male","Divorced",2,35,23084.19,"High School",11,"SME","Phone",663,8,17394.58,"0",196716.6,4,1
"Male","Single",0,67,31734.01,"High School",30,"Corporate","Phone",442,5,5685.38,"0",124538.6,5,7
"Male","Married",3,42,66313.58,"Master's",4,"Corporate","Phone",740,22,13675.74,"0",53288.09,4,10
"Male","Married",1,25,51045.4,"High School",5,"Retail","Email",806,19,41753.39,"0",43715.21,5,0
"Male","Divorced",3,53,62867.05,"Bachelor's",21,"Retail","Email",362,3,32672.93,"0",68683.64,3,2
"Female","Single",2,31,75176.05,"Bachelor's",16,"Retail","Phone",469,1,14053.48,"0",112877.28,2,4
"Female","Divorced",0,46,74027.23,"High School",29,"Retail","Email",843,11,14838.11,"0",234128.54,4,2
"Female","Married",1,75,64396.45,"Bachelor's",30,"Corporate","Email",343,14,44363.67,"0",160620.08,3,10
"Female","Married",2,56,84351.77,"Diploma",4,"Corporate","Email",767,19,40829.37,"0",210343.21,2,10
"Female","Married",1,37,12545.52,"High School",23,"Retail","Phone",511,25,39964.48,"0",144499.72,1,9
"Male","Single",3,68,82527.41,"Bachelor's",18,"Corporate","Phone",827,29,43169.15,"0",149694.83,5,4
"Male","Divorced",3,39,79502.86,"Master's",13,"Retail","Phone",741,2,11651.25,"1",21065.92,2,10
"Female","Divorced",4,25,94053.63,"Bachelor's",14,"Corporate","Email",469,1,44640.92,"0",53231.42,1,3
"Female","Single",5,51,69771.67,"High School",3,"Retail","Phone",400,23,44407.36,"1",36662.78,1,5
"Female","Married",4,68,89201.93,"Diploma",23,"Retail","Email",396,16,28169.78,"0",190481.12,3,9
"Female","Divorced",4,57,96009.23,"Master's",9,"Corporate","Phone",780,29,11624.7,"0",122999.28,1,10
"Female","Single",3,42,24097.93,"Bachelor's",24,"Retail","Phone",360,28,23551.15,"0",248566.7,5,8
"Female","Single",2,65,19935.13,"Diploma",4,"Corporate","Email",697,28,18458.93,"0",215275.57,5,5
"Female","Single",2,46,99354.06,"High School",4,"SME","Email",471,15,20054.65,"0",127186.27,3,2
"Female","Single",2,39,48716.86,"Bachelor's",20,"Retail","Phone",575,2,26068.15,"0",10145.66,5,5
"Female","Single",1,47,35695.28,"High School",18,"SME","Email",313,8,40326.8,"0",170568.83,4,10
"Male","Married",2,63,94524.33,"High School",17,"Corporate","Phone",612,4,16444.1,"0",54259.63,4,10
"Male","Single",5,41,66606.15,"High School",23,"Corporate","Phone",775,26,28132.45,"0",100973.4,2,2
"Female","Divorced",1,29,53697.02,"Master's",1,"Corporate","Email",585,24,23793.81,"0",62602.35,3,2
"Female","Divorced",1,61,39281.84,"Bachelor's",4,"Corporate","Phone",804,27,42037.09,"0",234257.13,4,2
"Female","Divorced",5,74,96649.47,"High School",5,"SME","Phone",737,19,31658.04,"0",88308.85,5,5
"Female","Single",0,64,15908.6,"High School",24,"Retail","Phone",442,5,19847.06,"0",98471.33,5,0
"Female","Divorced",4,74,6026.31,"Diploma",26,"Retail","Email",442,23,25295.71,"0",89103.65,2,10
"Male","Married",0,63,10686.19,"Bachelor's",10,"SME","Email",664,23,21951.31,"0",192874.3,3,6
"Female","Married",0,60,27764.84,"Diploma",20,"Retail","Phone",452,20,11382.66,"0",167650.01,5,7
"Male","Single",0,34,7785.21,"Bachelor's",19,"Retail","Email",828,25,8909.18,"0",77153.62,5,10
"Female","Single",1,65,97314.84,"Diploma",16,"Retail","Email",344,21,8948.63,"0",233572.74,4,10
"Male","Single",5,31,19756.83,"Bachelor's",30,"Retail","Phone",669,5,15592.17,"0",119728.67,2,7
"Male","Single",5,51,91646.56,"Bachelor's",25,"SME","Email",544,7,26116.54,"1",41749.72,2,9
"Male","Single",5,60,38239.8,"Bachelor's",11,"Retail","Phone",724,17,27087.21,"0",175258.58,2,9
"Female","Married",3,67,61483.52,"Master's",15,"Retail","Phone",433,18,41430.67,"0",228706.48,1,10
"Female","Married",0,45,22120,"Diploma",2,"Retail","Email",822,20,47962.98,"0",16181.94,5,9
"Female","Single",4,59,71929.07,"Bachelor's",10,"Corporate","Email",363,8,11061.47,"0",228320.31,5,10
"Female","Single",2,38,17375.55,"High School",3,"Retail","Email",326,4,2371.33,"0",166274.52,2,3
"Female","Divorced",0,66,36857.03,"Bachelor's",4,"Corporate","Email",459,20,13349.9,"0",60303.78,5,10
"Female","Divorced",5,30,62183.26,"High School",15,"Corporate","Phone",321,9,47410.77,"0",142878.13,5,9
"Female","Single",3,36,53966.73,"Diploma",20,"Corporate","Email",509,22,20023.71,"0",101514.83,2,1
"Female","Divorced",5,25,74655.51,"Bachelor's",11,"Corporate","Phone",720,1,40244.12,"0",106999.7,2,3
"Female","Married",4,74,96780.66,"Diploma",18,"Corporate","Phone",713,8,40952.27,"0",158509.61,3,5
"Male","Divorced",1,40,15518.81,"Bachelor's",21,"Corporate","Email",730,28,2741.71,"0",51298.34,1,2
"Female","Divorced",5,50,34974.08,"Bachelor's",14,"SME","Email",810,6,29664.13,"0",30568.35,2,4
"Female","Single",2,34,5724.91,"Master's",3,"Corporate","Email",364,19,20191.81,"0",100316.87,2,6
"Male","Married",1,48,18722.57,"Bachelor's",27,"SME","Phone",849,13,10388.37,"0",98047.8,4,0
"Female","Divorced",1,71,45520.9,"High School",4,"SME","Phone",518,19,20770.86,"0",237512.46,1,7
"Female","Single",2,65,22043.1,"Master's",8,"SME","Phone",688,23,41891.46,"0",121364.42,5,8
"Male","Divorced",4,60,35568.43,"Bachelor's",1,"SME","Email",321,19,2746.66,"0",108798.2,1,5
"Male","Divorced",1,35,37041.13,"Master's",15,"SME","Email",443,14,38098.56,"0",203305.67,3,6
"Female","Single",1,32,65366.29,"High School",9,"SME","Email",821,8,29968.79,"0",20829.25,4,7
"Male","Single",0,22,43134.31,"High School",27,"Retail","Email",383,20,18595.03,"1",71155.8,1,5
"Male","Married",3,37,11014.97,"Diploma",4,"SME","Phone",447,5,26079.31,"0",154284.74,4,6
"Female","Single",0,63,62838.56,"High School",15,"Retail","Email",718,20,36789.66,"0",115780.09,1,5
"Female","Single",5,48,62651.09,"Diploma",1,"Corporate","Phone",467,23,39241.87,"0",164512.77,1,1
"Female","Divorced",3,45,23812.67,"High School",10,"SME","Email",737,22,12026.69,"0",160427.55,1,9
"Female","Single",5,64,31953.06,"Diploma",16,"Corporate","Phone",721,16,49904.21,"0",158058.58,5,9
"Male","Single",5,64,89915.46,"Bachelor's",8,"Corporate","Phone",709,21,43330.72,"0",118153.92,3,0
"Female","Divorced",5,45,64395.07,"Bachelor's",20,"SME","Email",322,24,31481.92,"1",9824.77,2,3
"Male","Divorced",1,36,9755.06,"Master's",21,"SME","Email",541,1,25411.16,"0",146139.38,3,7
"Female","Divorced",1,57,80995.71,"Master's",7,"Retail","Phone",626,26,47089.31,"0",179520.61,2,3
"Female","Single",4,65,22344.45,"Diploma",2,"SME","Phone",634,14,7073.74,"0",76865.58,4,1
"Female","Single",2,64,48162.44,"Bachelor's",3,"Corporate","Email",794,27,33389.15,"0",213365.26,3,10
"Female","Married",4,29,44633.26,"Master's",29,"Corporate","Phone",440,19,7161.86,"1",44517.27,1,10
"Female","Married",2,18,95393.54,"Bachelor's",28,"SME","Email",670,13,26533.16,"0",71481.16,1,3
"Male","Divorced",2,57,97376.63,"Master's",25,"SME","Email",415,24,23415.2,"0",70448.95,4,9
"Female","Married",2,71,36489.01,"Bachelor's",23,"Retail","Email",665,30,6959.26,"0",112553.51,3,5
"Male","Single",4,45,99756.53,"Master's",1,"Corporate","Email",443,17,42077.57,"0",109118.97,1,9
"Female","Married",5,31,77742.09,"Bachelor's",15,"Corporate","Phone",606,28,9971.84,"0",169224.67,4,9
"Female","Married",2,64,66820.71,"Master's",29,"Retail","Phone",704,17,7507.32,"0",204952.97,2,0
"Female","Married",4,32,31157.61,"Diploma",6,"Retail","Email",770,1,8756.14,"0",245570.15,1,1
"Female","Married",5,35,30073.55,"High School",2,"SME","Email",466,30,27659.1,"0",94830.8,2,7
"Male","Single",5,50,83956.1,"High School",4,"Retail","Phone",483,18,2567.06,"0",108300.46,5,7
"Female","Married",1,55,33605.91,"Diploma",22,"SME","Email",828,8,48369.19,"0",169097.16,2,4
"Male","Divorced",1,57,9488.77,"Diploma",21,"SME","Phone",700,27,43038.08,"0",220274.61,5,7
"Female","Single",5,35,94884.83,"Master's",10,"SME","Email",655,17,9957.18,"0",109025.02,3,8
"Male","Divorced",1,36,59761.33,"Bachelor's",4,"Retail","Email",616,14,7682.82,"0",126975.46,4,4
"Male","Divorced",0,57,95115.39,"Bachelor's",22,"Retail","Email",318,28,33700.8,"0",178832,2,2
"Male","Married",5,22,63896.09,"High School",23,"Retail","Email",595,28,33883,"0",227918.84,2,3
"Male","Single",4,25,73343.66,"Master's",21,"SME","Email",788,4,49428.34,"0",203283.3,2,2
"Male","Married",1,42,37580.89,"Diploma",29,"Retail","Email",846,20,7317.89,"0",77118.3,1,4
"Male","Single",1,31,16425.2,"Diploma",24,"SME","Phone",655,26,6060.91,"0",205293.56,3,7
"Male","Divorced",0,57,49061.32,"Diploma",12,"SME","Phone",738,24,37646.78,"0",138754.88,5,2
"Male","Single",5,57,46188.39,"Master's",7,"Corporate","Phone",425,7,23119.54,"0",64174.6,4,4
"Male","Married",1,26,46225.01,"Diploma",24,"Retail","Email",731,25,33377.65,"0",217656.38,4,10
"Male","Married",1,51,55373.59,"High School",20,"Retail","Phone",659,13,8556.85,"0",209221.75,4,1
"Male","Divorced",1,74,44284.06,"Bachelor's",21,"Retail","Email",746,25,33721.84,"0",66577.89,1,0
"Male","Single",3,52,97394.47,"High School",17,"SME","Phone",484,17,20410.77,"0",59286.54,2,1
"Female","Married",2,22,32950.2,"High School",9,"SME","Email",494,16,12675.37,"0",136725.56,2,0
"Male","Single",5,68,59629.81,"Diploma",11,"SME","Email",574,21,24271.86,"0",102041.53,1,1
